sample_id,true_label,failure_mode,quantum_relentropy_score,classical_ocsvm_score
0,0,healthy,0.004160910781929024,-0.4457229277670782
1,0,healthy,0.006690370658711356,-0.5548140536407811
2,0,healthy,0.003232048022020311,-0.49851410031482146
3,0,healthy,0.02574415165103334,0.9820840872307817
4,0,healthy,0.02103058664222251,-0.6477895881221425
5,0,healthy,0.0073758667382697604,-1.443739634057831
6,0,healthy,0.006883858396466138,-1.1772896707732858
7,0,healthy,0.019469222505339417,-0.45069395247587085
8,0,healthy,0.02280907317509783,-0.9222151742856042
9,0,healthy,0.003953097717482842,-0.30423885565031217
10,0,healthy,0.03293077428376304,-0.8958174792769977
11,0,healthy,0.006120758107018822,-0.7880601792627271
12,0,healthy,0.0032385625362015467,-0.9331911200905827
13,0,healthy,0.004584584998009806,-1.2245318679029378
14,0,healthy,0.004027123643833477,-1.4488968091862278
15,0,healthy,0.005564859790115282,-1.1127193982421613
16,0,healthy,0.0029461183966880767,-0.8910073759688917
17,0,healthy,0.024647446542606713,-1.3764453850909337
18,0,healthy,0.02787566941142178,-0.41897033123900673
19,0,healthy,0.014971737043673806,-1.4707348444650892
20,0,healthy,0.013677293534419765,-0.8118876373033697
21,0,healthy,0.002858434624514632,-1.0254391730644956
22,0,healthy,0.02219972859307898,-1.3601272533089723
23,0,healthy,0.005779088633657643,-1.389766496349587
24,0,healthy,0.004036236378904828,-0.9730272848915895
25,0,healthy,0.01548387081409302,-1.3272195149329313
26,0,healthy,0.039239421604178926,-0.6471646405497058
27,0,healthy,0.0031637260759727875,-0.9874668770276207
28,0,healthy,0.0056185838996877825,-1.378546074522558
29,0,healthy,0.00525481615753144,-1.1790264504325494
30,0,healthy,0.011271653745247367,-1.1223806278258879
31,0,healthy,0.00318255079108156,-1.079753756911872
32,0,healthy,0.00528409565633256,-0.9776569149800736
33,0,healthy,0.015732230415072733,-0.9381033794833131
34,0,healthy,0.0028817775610229792,-0.9654447522210123
35,0,healthy,0.0042386002165483265,-1.3327257947257518
36,0,healthy,0.006882378099900654,-1.3154584768538227
37,0,healthy,0.0122569734815644,-0.7189384879692913
38,0,healthy,0.003859307166610693,-0.9434351719771321
39,0,healthy,0.005311115216387196,-1.1474678411113333
40,0,healthy,0.012450488634246224,-0.9216009990184348
41,0,healthy,0.0032218733853371837,-1.1759819921126455
42,0,healthy,0.006509583120086847,-0.4636278505197273
43,0,healthy,0.03436967037878767,-1.010866861362052
44,0,healthy,0.00947293936719499,-1.0344108145470363
45,0,healthy,0.006617118428107263,-1.2095934026192658
46,0,healthy,0.0028103917777929574,-1.1391573054701372
47,0,healthy,0.003827558192408588,-0.9102032034112426
48,0,healthy,0.011320206615340344,-1.3036390155650261
49,0,healthy,0.008475169885947688,-1.3464169924612648
50,0,healthy,0.007526893657383108,-1.390282803582127
51,0,healthy,0.004216393809321961,-1.3885443433796345
52,0,healthy,0.0033850421518483486,-1.0943260101365295
53,0,healthy,0.016167963831651477,-0.973239697356588
54,0,healthy,0.007089224626795122,-1.4822397635570255
55,0,healthy,0.017530249617369383,-0.7828880860644833
56,0,healthy,0.010318045535805728,-0.4927688588849257
57,0,healthy,0.013590253419515736,-0.5816542649915881
58,0,healthy,0.0046735042221250035,-0.9246304262527243
59,0,healthy,0.014498872116242092,-0.7925321650786747
60,0,healthy,0.00412594981742523,-1.1539635645379498
61,0,healthy,0.03481508510276273,-0.13376271967678033
62,0,healthy,0.006210448697217307,-1.390883076203786
63,0,healthy,0.013479326639569918,-0.9266785940511371
64,0,healthy,0.006165985112477038,-1.1927794229775746
65,0,healthy,0.006810604484202907,-1.4599288008576492
66,0,healthy,0.005080127654338091,-1.29530781185969
67,0,healthy,0.012909107603110894,-1.3176599019088284
68,0,healthy,0.014851269499188382,1.346971330218547
69,0,healthy,0.01851642984461391,-0.456873922469315
70,0,healthy,0.012836600193625758,-0.4445438666297319
71,0,healthy,0.01431258428450821,-0.7295055573828657
72,0,healthy,0.011120118558288546,-1.2846474285262799
73,0,healthy,0.016152185420253234,-0.6577137626391476
74,0,healthy,0.0035136706547861823,-0.3033618435728842
75,0,healthy,0.006086519850580365,-1.4459266405624245
76,0,healthy,0.010444529682577124,-1.1563295208932
77,0,healthy,0.0072130987784566,-1.155186340444124
78,0,healthy,0.003170624337233852,-1.1736071225836202
79,0,healthy,0.011270040619024257,-1.1430127317284535
80,0,healthy,0.0030713116027894644,-0.9256870104518704
81,0,healthy,0.0053893635237018565,-1.1220043099549404
82,0,healthy,0.008398430387911701,-1.349598981212706
83,0,healthy,0.006710973055991101,-1.208592535015602
84,0,healthy,0.0262206962432999,-0.6030197716655277
85,0,healthy,0.0122489180615795,-1.0169307899189572
86,0,healthy,0.007212140815729953,-0.7643411896013976
87,0,healthy,0.010959248126026952,-1.1825105922445012
88,0,healthy,0.006477716033976508,-0.8181168566697208
89,0,healthy,0.007700946726789184,-0.7154742303967403
90,0,healthy,0.007496102554117726,-0.42782134444831676
91,0,healthy,0.002904088334946466,-1.1607674844646851
92,0,healthy,0.012343281253649441,0.5051591360428711
93,0,healthy,0.005495723916656098,-0.8368087556728332
94,0,healthy,0.009135198722445014,-1.393911728017816
95,0,healthy,0.019688162689474757,-0.33317995816725077
96,0,healthy,0.004168526396532594,-1.3369454968232413
97,0,healthy,0.0037922495120454374,-1.1127323503589528
98,0,healthy,0.006130246619156791,-1.4085640384810407
99,0,healthy,0.004922455261874848,-0.9776424330937283
100,0,healthy,0.011145597073798195,-0.685513933281829
101,0,healthy,0.009194664532220278,-1.4184374608005719
102,0,healthy,0.006822442657487713,-1.0558899685992191
103,0,healthy,0.0028254116475051804,-1.0513773469440268
104,0,healthy,0.01393598310884898,-1.0271426539529411
105,0,healthy,0.03956014016636525,-0.05535992703068793
106,0,healthy,0.004917704973984957,-1.344615704057036
107,0,healthy,0.0025903946643553075,-1.1847856765014884
